CategoriesID,CategoriesName,ParentCategoriesID,CategoriesPDF
1,สมัครเรียน,1,
1-1,กำหนดการและรอบการรับสมัคร,1,
1-2,คุณสมบัติพื้นฐานและวุฒิการศึกษา,1,
1-3,เกณฑ์การรับสมัคร(แยกตามรอบ),1,
1-4,ขั้นตอนและช่องทางการสมัครเรียน,1,
1-5,การชำระเงินสมัครเรียน,1,
1-6,การเทียบโอนหน่วยกิต,1,
2,ทุนการศึกษา,2,
2-1,ทุนอุดหนุนการศึกษา,2,
2-2,กองทุนเงินให้กู้ยืมเพื่อการศึกษา(กยศ.),2,
3,หอพัก,3,
3-1,การสมัครและระบบหอพัก,3,
3-2,ค่าธรรมเนียมหอพัก,3,
3-3,กฎระเบียบและเวลาทำการ,3,
3-4,สิ่งอำนวยความสะดวกและความปลอดภัย,3,
3-5,ติดต่อหอพัก,3,
4,บริการนักศึกษา,4,
4-1,บริการด้านเทคโนโลยีสารสนเทศ,4,
4-2,บริการด้านสุขภาพ,4,
4-3,สวัสดิการและร้านค้า,4,
