QuestionTitle,QuestionText,ReviewDate,CategoriesID,Keywords
เกรดเฉลี่ย น้อยกว่า 2.00 สามารถสมัครเรียนคณะไหนได้บ้าง?,"สาขาที่ระบุชัดเจนว่าเกรดไม่ถึง 2.00 สามารถสมัครได้ มีดังนี้
1. สมัครได้แน่นอน (ไม่กำหนดเกรด):
คณะมนุษยศาสตร์และสังคมศาสตร์ สาขาวิชา ภาษาจีน (ศศ.บ.)
ระบุชัดเจนว่า ""ไม่จำกัดเกรดเฉลี่ย"" และไม่มีพื้นฐานก็เรียนได้ 
2. มีโอกาสสมัครได้ (รอบโควตารับตรง): ในรอบโควตาและรับตรงของ 4 คณะหลัก ได้แก่ คณะวิทยาการจัดการ, คณะมนุษยศาสตร์ฯ, คณะวิทยาศาสตร์ฯ, คณะเทคโนโลยีการเกษตรฯ เกณฑ์กลางระบุเพียง ""สำเร็จการศึกษา ม.6 หรือเทียบเท่า""  จึงเป็นโอกาสสำหรับผู้ที่มีเกรดไม่สูงมาก

** ข้อแนะนำ: ให้ตรวจสอบระเบียบการของแต่ละสาขาอีกครั้ง เพราะบางสาขาอาจกำหนดเกรดขั้นต่ำ",29/12/00,1-2,"2.00,คณะ,คุณสมบัติพื้นฐานและวุฒิการศึกษา,ต่ำกว่า,น้อยกว่า,สมัครเรียน,เกรด"
ปี 69 เปิดรับสมัครกี่รอบ มีรอบอะไรบ้าง พร้อมกำหนดการการรับสมัคร?,"1. ภาคปกติ  ระดับปริญญาตรี  ประเภทโควตารับตรง (คณะวิทยาการจัดการ, คณะมนุษยศาสตร์ฯ, คณะวิทยาศาสตร์ฯ, คณะเทคโนโลยีการเกษตรฯ)
สมัครออนไลน์: 21 ก.ค. 68 – 25 พ.ย. 68 
สมัครที่มหาวิทยาลัย: 21 ก.ค. 68 – 28 พ.ย. 68 

2. ภาคปกติ  ระดับปริญญาตรี  ประเภทรับตรงทั่วไป (คณะวิทยาการจัดการ, คณะมนุษยศาสตร์ฯ, คณะวิทยาศาสตร์ฯ, คณะเทคโนโลยีการเกษตรฯ))
สมัครออนไลน์: 29 พ.ย. 68 – 13 มี.ค. 69 
สมัครที่มหาวิทยาลัย: 29 พ.ย. 68 – 20 มี.ค. 69 

3. ภาคปกติ  ระดับปริญญาตรี  ประเภท Portfolio (คณะครุศาสตร์ทุกสาขา และคณะเกษตร สาขาวิชาการงานอาชีพและเทคโนโลยี  และสาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบอัตโนมัติ)
สมัครออนไลน์: 4 – 17 เม.ย. 69 
สมัครที่มหาวิทยาลัย: 4 – 20 เม.ย. 69 

4. ภาคปกติ  ระดับปริญญาตรี  ประเภทรับตรงแบบมีการสอบ (คณะครุศาสตร์ทุกสาขา และคณะเกษตร สาขาวิชาการงานอาชีพและเทคโนโลยี  และสาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบอัตโนมัติ)
สมัครออนไลน์: 4 เม.ย. – 10 พ.ค. 69 
สมัครที่มหาวิทยาลัย: 4 เม.ย. – 22 พ.ค. 69 

5. ภาคปกติ  ระดับปริญญาตรี  ประเภทโควตาแบบมีการสอบและรับตรงแบบมีการสอบ (คณะพยาบาล)
สมัครออนไลน์: 22 ธ.ค. 68 – 23 ม.ค. 69 
สมัครที่มหาวิทยาลัย: 22 ธ.ค. 68 – 30 ม.ค. 69 

6. ภาค กศ.ปช. ระดับปริญญาตรี       
รอบที่ 1: 21 ก.ค. – 25 พ.ย. 68 (ออนไลน์) หรือถึง 28 พ.ย. 68 (ที่มหาวิทยาลัย) 
รอบที่ 2: 29 พ.ย. 68 – 13 มี.ค. 69 (ออนไลน์) หรือถึง 20 มี.ค. 69 (ที่มหาวิทยาลัย)    
                                                                            
7. ภาคปกติ ระดับปริญญาตรี (รอบเพิ่มเติม)  (คณะวิทยาการจัดการ, คณะมนุษยศาสตร์ฯ, คณะวิทยาศาสตร์ฯ, คณะเทคโนโลยีการเกษตรฯ)
ช่วงเวลา: 21 มี.ค. – 3 ก.ค. 69 (เปิดรับเฉพาะสาขาที่ยังไม่เต็ม)

8. ภาค กศ.ปช. ระดับปริญญาตรี  (รอบเพิ่มเติม)  (คณะวิทยาการจัดการ, คณะมนุษยศาสตร์ฯ, คณะวิทยาศาสตร์ฯ, คณะเทคโนโลยีการเกษตรฯ))
ช่วงเวลา: 21 มี.ค. – 21 มิ.ย. 69 (เปิดรับเฉพาะสาขาที่ยังไม่เต็ม)",29/12/00,1-1,"Portfolio,กศ.ปช,กำหนดการ,ปี 69,พอร์ตโฟลิโอ,รอบ,รับตรง,สมัคร,สอบ,เพิ่มเติม,เรียน,แฟ้มสะสมผลงาน,โควตา"
การเทียบโอนหน่วยกิต ปกติต้องใช้เวลาเรียนกี่ปีถึงจะจบ?,สำหรับหลักสูตรเทียบโอน (ต่อเนื่อง) หรือการใช้วุฒิ ปวส. มาเทียบโอน โดยปกติจะใช้เวลาเรียนต่ออีกประมาณ 2 ปี  (ทั้งนี้ขึ้นอยู่กับการเก็บหน่วยกิตและการเทียบรายวิชาของแต่ละสาขา),29/12/00,1-6,"จบ,ปี,หน่วยกิต,เทียบโอน,เรียน,เวลา"
จบสายศิลป์มาสามารถสมัครเรียนคณะพยาบาล หรือคณะวิทยาศาสตร์ได้ไหม?,"คณะพยาบาลศาสตร์: เฉพาะแผนการเรียน วิทย์-คณิต เนื่องจากต้องมีการสอบข้อเขียนวิชาวิทยาศาสตร์สุขภาพและคณิตศาสตร์ 
คณะวิทยาศาสตร์: บางสาขาวิชาอาจเปิดรับสายศิลป์ (เช่น สาขาวิทยาการคอมพิวเตอร์ หรือเทคโนโลยีสารสนเทศ) แต่สาขาวิทยาศาสตร์หลักมักรับสายวิทย์-คณิต แนะนำให้ตรวจสอบคุณสมบัติเฉพาะของแต่ละสาขาในประกาศรับสมัคร",29/12/00,1-2,"คณะ,พยาบาล,วิทยาศาสตร์,สมัครเรียน,สายศิลป์"
จบ ปวส. สามารถสมัครเรียนต่อคณะอะไรได้บ้าง?,"สามารถสมัครเรียนต่อในสาขาวิชาที่เปิดรับใน 4 คณะหลัก ได้แก่
1. คณะวิทยาการจัดการ
2. คณะมนุษยศาสตร์และสังคมศาสตร์
3. คณะวิทยาศาสตร์และเทคโนโลยี
4. คณะเทคโนโลยีการเกษตรและเทคโนโลยีอุตสาหกรรม โดยสามารถสมัครได้ทั้งใน รอบโควตา และรอบรับตรงทั่วไป",29/12/00,1-2,"คณะ,จบ,ปวส,สมัคร,เรียน"
สมัครเรียนออนไลน์ต้องทำยังไงบ้าง?,"1. เข้าเว็บไปกรอกข้อมูลส่วนตัว https://academic.pcru.ac.th/
2. กดเข้ากลุ่มไลน์สาขาเพื่อคุยกับอาจารย์
3. พิมพ์ใบแจ้งหนี้ไปจ่ายเงิน
4. ถ้าเรียนครู ต้องส่งเอกสารมาที่มหาวิทยาลัย",29/12/00,1-4,"ขั้นตอน,วิธี,สมัคร,ออนไลน์,เรียน"
สมัครเรียนที่มหาวิทยาลัยต้องไปสมัครที่ไหน?,สำนักส่งเสริมวิชาการและงานทะเบียน อาคารอธิการบดี (อาคารที่ 14 ),29/12/00,1-4,"ที่ไหน,มหาวิทยาลัย,สมัคร,สมัครเรียน,ไป"
เกณฑ์การรับสมัครรอบ Portfolio?,"เปิดรับนักศึกษาสำหรับสาขาวิชาที่มีคุณสมบัติเฉพาะด้าน และคณะต้องการคัดกรองคุณสมบัติผู้สมัครก่อนเข้าระบบ ใช้ผลการเรียนเกรด 5 ภาคเรียนในการสมัคร ซึ่งผู้ที่มีคุณสมบัติผู้สมัครตรงตามที่สาขาวิชากำหนด จะได้เข้าสอบคัดเลือกตามระบบ  โดยการสอบสัมภาษณ์ และจะพิจารณาจากแฟ้มสะสมผลงานของผู้เข้าสอบ
มีคณะหลักสูตรสาขาวิชา ดังต่อไปนี้ 
1. คณะครุศาสตร์  ทุกสาขาวิชา				
2. คณะเทคโนโลยีการเกษตรและเทคโนโลยีอุตสาหกรรม 
สาขาวิชาการงานอาชีพและเทคโนโลยี  และสาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบอัตโนมัติ",29/12/00,1-3,"Portfolio,คณะ,พอร์ตโฟลิโอ,รอบ,สมัคร,เกณฑ์,แฟ้มสะสมผลงาน"
เกณฑ์การรับสมัครรอบรับตรงแบบมีการสอบ?,"ประเภทรับตรงแบบมีการสอบ เปิดรับนักศึกษาสำหรับสาขาวิชาที่มีคุณสมบัติเฉพาะด้าน และหลักสูตรสาขาวิชาต้องการคัดกรองคุณสมบัติผู้สมัครก่อนเข้าระบบ ซึ่งผู้ที่มีคุณสมบัติผู้สมัครตรงตามที่สาขาวิชากำหนด จะได้เข้าสอบคัดเลือกตามระบบ  โดยการสอบข้อเขียน และสอบสัมภาษณ์  ตามเกณฑ์ที่สาขาวิชากำหนดไว้ มีคณะหลักสูตรสาขาวิชาดังต่อไปนี้ 
ภาคปกติ  ประเภทรับตรงแบบมีการสอบ  (สอบข้อเขียน และสอบสัมภาษณ์)
1. คณะครุศาสตร์  ทุกสาขาวิชา				
2. คณะเทคโนโลยีการเกษตรและเทคโนโลยีอุตสาหกรรม 
สาขาวิชาการงานอาชีพและเทคโนโลยี และสาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบอัตโนมัติ",29/12/00,1-3,"คณะ,รอบ,รับตรง,สมัคร,สอบ,เกณฑ์"
จ่ายเงินค่าสมัครที่ไหนได้บ้าง?,"ปริ้นท์ใบแจ้งหนี้แล้วไปจ่ายได้ 2 ที่
1. จ่ายที่ งานคลัง ในมหาลัย
2. จ่ายที่ เคาน์เตอร์ธนาคาร ตามที่ระบุในใบแจ้งหนี้",29/12/00,1-5,"การชำระเงินสมัครเรียน,ค่า,จ่าย,ชำระ,ที่ไหน,สมัคร,เงิน"
