"QuestionTitle","ReviewDate","Keywords","CategoriesID","QuestionText"
"การดำเนินการกู้ยืมต่อเนื่องสำหรับผู้กู้ กยศ. (รายเก่า)","2026-11-24","กยศ., กู้, ข้อมูลการกู้ กยศ., ต่อ, ผู้กู้, ย้าย, รายเก่า, เก่า, เคย, เปลี่ยน, เลื่อนชั้น","ข้อมูลการกู้ กยศ.","📌 เคยกู้แล้ว ย้ายที่เรียน/เลื่อนชั้นปี (ผู้กู้รายเก่า)
-  ไม่ต้องสมัครใหม่: ใช้รหัสเดิมเข้าระบบ DSL ได้เลย
-  มิ.ย. เจอกัน: รอระบบเปิด > กด ""ยื่นคำขอกู้ยืม""
-  เตรียมเอกสารรอ: ใบรับรองรายได้ & ใบเกรด"
"ติดตามข่าวสาร กยศ.","2026-11-25","กยศ., ข่าว, ข่าวสาร, ช่องทาง, ติดตาม, ติดตามข่าวสาร กยศ., เพจ","ติดตามข่าวสาร กยศ.","ติดตามข่าวสาร กยศ. มรภ.เพชรบูรณ์ 
🔵 FB: https://sh.pcru.ac.th/g5Dz"
"การดำเนินการกู้ กยศ. (รายใหม่)","2026-11-21","กยศ., กู้, ข้อมูลการกู้ กยศ., ครั้งแรก, ผู้กู้, รายใหม่, สำรอง, ใหม่, ไม่เคย","ข้อมูลการกู้ กยศ.","🎓 สำหรับผู้กู้ กยศ. รายใหม่
1️⃣ เตรียมตัว (เม.ย. - พ.ค.)
-  คุณสมบัติ: รายได้ครอบครัวไม่เกิน 360,000 บาท/ปี
-  เอกสาร: สำเนาบัตรประชาชน / ทะเบียนบ้าน / สลิปเงินเดือนหรือใบรับรองรายได้ / ใบเกรด
2️⃣ ลงทะเบียน (มิ.ย.)
-  โหลดแอป ""กยศ. Connect"" หรือเว็บ wsa.dsl.studentloan.or.th
-  ลงทะเบียนและกด ""ยื่นคำขอกู้ยืม"" ในระบบ
3️⃣ ส่งเอกสารให้ มรภ. (รอประกาศ)
-  ส่งที่ กองพัฒนานักศึกษา 
4️⃣ ทำสัญญา
-  เมื่อผ่านการคัดเลือก ให้เข้าระบบไปทำสัญญา > ปริ้นท์ออกมาเซ็น > นำส่งมหาวิทยาลัย
⚠️ ข้อควรรู้: เทอมแรกต้อง ""สำรองจ่ายค่าเทอม"" ไปก่อน (จะได้คืนเมื่อเงินกู้เข้าบัญชี)"
"เก็บชั่วโมงจิตอาสา กยศ.","2026-12-06","กยศ., กิจกรรม, จำนวน, จิตอาสา, ชั่วโมง, ชั่วโมงจิตอาสา กยศ., บำเพ็ญประโยชน์, สถานะผู้กู้ กยศ., เก็บชั่วโมง, เงื่อนไขหลังจากกู้ กยศ.","ข้อปฏิบัติหลังจากกู้ กยศ.","⏳ เก็บชั่วโมงจิตอาสา กยศ.
-  เก็บชั่วโมง: เก็บ 36 ชั่วโมง/ปี
-  ทำอะไรได้บ้าง: จิตอาสาของมหาลัย, บริจาคโลหิต, e-Learning กยศ."
"ติดต่อเจ้าหน้าที่ กยศ.","2026-06-18","กยศ., กู้, ติดต่อ, ติดตามข่าวสาร กยศ., หน่วยงาน, เจ้าหน้าที่, เบอร์โทรศัพท์","ติดตามข่าวสาร กยศ.","ติดต่อ: กองพัฒาการศึกษา 
📞 โทรสายตรง: 056-717144
🔵 FB: https://sh.pcru.ac.th/g5Dz"
"ค่าธรรมเนียมหอพักนักศึกษา","2026-06-17","ข้อมูลหอพักนักศึกษา, ค่าธรรมเนียมหอพัก, ค่าหอ, ค่าหอพักนักศึกษา","ข้อมูลหอพักนักศึกษา","ค่าธรรมเนียมหอพักนักศึกษา
💵 ค่าหอพัก 2,000 บาท / เทอม
⚡ รวมค่าน้ำ + ค่าไฟ
🏢 พิกัดชำระเงิน: งานคลัง อาคารสำนักงานอธิการบดี"
"ข้อห้ามภายในหอพักนักศึกษา","2026-06-29","กฎ, ข้อมูลหอพักนักศึกษา, ข้อห้าม, ระเบียบ, หอพักนักศึกษา, ห้าม","ข้อมูลหอพักนักศึกษา","ข้อห้ามภายในหอพัก
1. ห้าม นำสุรา ของมึนเมา หรือสิ่งเสพติดเข้ามาในหอพัก
2. ห้าม เล่นการพนันทุกประเภท
3. ห้าม ส่งเสียงดังรบกวนผู้อื่น หรือก่อเหตุทะเลาะวิวาท
4. ห้าม นำสัตว์เลี้ยงทุกชนิดเข้ามาเลี้ยง
5. ห้าม พาบุคคลภายนอกเข้าห้องพัก (โดยเฉพาะเพศตรงข้าม)
6. ห้าม ประกอบอาหารเพื่อป้องกันอัคคีภัย (ยกเว้นการใช้กาน้ำร้อน)
7. ห้าม สลับห้องพักโดยพละการ (หากต้องการย้ายห้อง กรุณาติดต่อกองพัฒนานักศึกษา)"
"ระบบรักษาความปลอดภัยของหอพักนักศึกษา","2026-06-19","กล้องวงจรปิด, ข้อมูลหอพักนักศึกษา, ความปลอดภัย, พนักงานรักษาความปลอดภัย, สแกน, หอพักนักศึกษา","ข้อมูลหอพักนักศึกษา","อุ่นใจ 24 ชั่วโมง กับระบบรักษาความปลอดภัยหอพักใน
☝️ ระบบสแกนนิ้ว: เฉพาะนักศึกษาหอในเท่านั้นที่ผ่านเข้า-ออกได้
🎥 กล้องวงจรปิด: บันทึกภาพและเฝ้าระวังตลอด 24 ชั่วโมง
👮‍♂️ รปภ. ประจำการ: มีเจ้าหน้าที่ดูแลความเรียบร้อยตลอดคืน"
"ระเบียบการเข้า-ออกหอพักนักศึกษา","2026-06-23","กลับ, ข้อมูลหอพักนักศึกษา, ปิด, หอพักนักศึกษา, ออก, เข้า, เปิด, เวลา","ข้อมูลหอพักนักศึกษา","ระเบียบการเข้า-ออกหอพัก
🌤️เวลาเปิด: อนุญาตให้ออกจากหอพักได้ตั้งแต่เวลา 05.00 - 06.00 น. เป็นต้นไป
🌙เวลาปิด: ต้องกลับเข้าหอพัก ภายในเวลา 21.00 น.
⚠️หากมีความจำเป็นต้องกลับดึกกว่า 21.00 น. ต้องลงชื่อเข้า-ออก (ยามวิกาล) กับประธานหอพัก"
"ภายในห้องพักนักศึกษา","2026-06-17","ข้อมูลหอพักนักศึกษา, ภายใน, สิ่งอำนวยความสะดวก, ห้อง, ห้องพัก, ห้องพักนักศึกษา, เฟอร์นิเจอร์","ข้อมูลหอพักนักศึกษา","🚹 หอพักชาย (พัก 4 คน/ห้อง)
       - เฟอร์นิเจอร์: เตียงเดี่ยว (4), ตู้เสื้อผ้า (4), โต๊ะ - เก้าอี้ (4)
       - พัดลมเพดาน, มุ้งลวด, เหล็กดัด
       - ราวตากผ้า (ส่วนกลาง)
       - ห้องน้ำรวม

🚺 หอพักหญิง (พัก 4 คน/ห้อง) 
       - เฟอร์นิเจอร์: เตียง 2 ชั้น (2 เตียง), ตู้เสื้อผ้า (4), โต๊ะ - เก้าอี้ (4)
       - พัดลมเพดาน (2 ตัว), ผ้าม่าน, มุ้งลวด, เหล็กดัด
       - ห้องน้ำในตัว 
       - ราวตากผ้า (ภายในห้องพัก)

ดูภาพภายในห้องพัก
👉 https://sh.pcru.ac.th/woBj"
